Trivia,Answer
Who is generally acknowledged as the “father” of the modern periodic table?,Russian chemist Dmitri Mendeleev
What was the name of the coffee shop in the hit sitcom friends?,Central Perk
"In the sport of professional bicycle racing, what are the three Grand Tours?","The Tour de France, Giro d’Italia and Vuelta a España."
Bogota is the high altitude capital of which country?,Colombia
What is the name for a compound literary or narrative work that is divided into five parts?,Pentalogy
What U.S. nonprofit organization sells about 200 million boxes of cookies per year?,The Girl Scouts
What group of lakes located in upstate New York are named after a part of the human anatomy?,The finger lakes
Who was the first Tudor monarch in England?,Henry VII
In what major Canadian city would you find the Lord Stanley’s Gift Monument?,Ottawa
What is the largest lake in Africa?,Lake Victoria
Who played the fictional character Phoebe Buffay on the American sitcom Friends?,Lisa Valerie Kudrow
The Kangaroo Hoppet is a long distance cross-country skiing race that is held in which county?,Australia
Who was the guitarist for the British rock band Cream?,Eric Clapton
"In welding terminology, what do the letters MIG stand for?",Metal Inert Gas
The headquarters of the United Nations is located in what city?,New York City
Beirut is the capital and largest city of what country?,Lebanon
The Equator passes through which three countries in South America?,"Ecuador, Colombia & Brazil"
Who was the first Spaniard to set foot in what is now the US state of Florida?,Ponce de Leon
The Nintendo GameCube was replaced by which video game console in 2006?,Nintendo Wii
What layer of the atmosphere lies between the troposphere and mesosphere?,Stratosphere
Which city is located both in Asia and Europe?,Istanbul
Ceres is a dwarf planet that lies between the orbits of which two planets in our solar system?,Mars & Jupiter
Which planet in our solar system has the most oxygen?,Earth
What does the online acronym SMH stand for?,Shaking my head
Who was the only bachelor to serve as president of the United States?,James Buchanan
"In basketball, what is the term used when a player reaches double digits in three of five statistical categories?",Triple-double
Which 1980’s television hit was renamed El Coche Fantastico for its Spanish viewers?,Knight Rider
Polar bears feed mainly on what animal?,Seals
Ferdinand III was the longest reigning monarch of what former Kingdom?,Sicily
"Wrangell-St. Elias, the largest national park in the U.S., is located in which state?",Alaska
How the Grinch Stole Christmas is a children’s book written by which American author?,Dr. Seuss (Theodor Seuss Geisel)
Who was president of the United States when bombs were dropped on Hiroshima and Nagasaki?,Harry S. Truman
How do you say panda in Spanish?,Panda
Which action movie star was the voice of the Iron Giant?,Vin Diesel
Who was the first man to set foot on the moon?,Neil Armstrong
Suriname is a country located on which continent?,South America
In what type of restaurant would you typically find the condiment wasabi?,Japanese
"What film did Carol Burnett parody as the character “Starlet” in a costume made from tassels, drapery, and a curtain rod?",Gone with the Wind
The first person shooter video game Doom was first released in what year?,1993
At what wind speed does a tropical storm become a hurricane?,74 mph (119 km/hr)
"In Russia, a woman’s last name usually ends in what letter?",A
What popular soda beverage was originally developed as a mixer for whiskey?,Mountain Dew
Diana Prince is the public persona of which fictional superhero?,Wonder Woman
"Nicholas II, the last Tsar of Russia was said to have been close friends with a mystical faith healer known by what name?",Grigori Rasputin
St. Augustine Florida is the home to the hall of fame for what sport?,Golf (The World Golf Hall of Fame)
Which artist created the sculpture “The Thinker”?,Auguste Rodin
Which basketball team did Michael Jordan play for in college?,University of North Carolina at Chapel Hill
What are the five boroughs of New York City?,"Manhattan, the Bronx, Queens, Brooklyn, and Staten Island"
"Which element, previously used in the production of felt, lead to the expression “mad as a hatter”?",Mercury
What is the name for the branch of mathematics dealing with lengths and angles of triangles.,Trigonometry
"American Gothic, a 1930 portrait depicting a farmer and his daughter posing in front of their house, was painted by which artist?",Grant Wood
Which is the most abundant metal in the earth’s crust?,Aluminum
"The United States Constitution replaced what other document on March 4, 1789?",The Articles of Confederation
In the card game poker the acronym WSOP stands for what event?,World Series of Poker
New York City was originally known by which Dutch name?,Nieuw Amsterdam (New Amsterdam)
"In 2018, what video technology was used for the first time in a FIFA World Cup?",Video Assistant Referees (VARs)
"Appearing on the show in 1982, who was the youngest person to ever host Saturday Night Live?",Drew Barrymore (Age 7)
The song “Eye of the Tiger” by the band Survivor was the theme song for what movie released in 1982?,Rocky III
Who was the first U.S. president that was born a citizen of the United States?,Martin Van Buren
Jackson Pollock was an influential abstract expressionist painter from what country?,The United States
"“All Shook Up” is a song that topped the U.S. Billboard Hot 100 on April 13, 1957. Who was the singer?",Elvis Presley
According to NBA rules how long does a player have after catching the ball to shoot a free throw?,10 seconds
What is the name of the Spanish islands that lie off the Northwest coast of Africa?,The Canary Islands
"Of the original six space shuttles, which one never flew a mission in space?",Enterprise
Who was the first man to appear on the cover of Playboy Magazine?,"Peter Sellers, April 1964 issue"
What is the only Canadian province without a natural border?,Saskatchewan
The Kangaroo Hoppet is a long distance cross-country skiing race that is held in which county?,Australia
Who directed the movie “Harry Potter and the Prisoner of Azkaban”?,Alfonso Cuarón
What is the largest island in the Caribbean Sea?,Cuba
What is the Spanish word for money?,Dinero
The filament in an incandescent light bulb is made of what element?,Tungsten
